"Position","link","img","title","subtitle","price","rating"
55,"https://wolt.com/nb/nor/oslo/restaurant/stangeriet","https://imageproxy.wolt.com/venue/6139b92be36c2820aaea9c2a/ef2274a0-1602-11ec-8ed5-d67bcfc09375_stangeriet0373.jpg","Stange","Norsk kylling av beste kvalitet","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
56,"https://wolt.com/nb/nor/oslo/restaurant/simply-tasty","https://imageproxy.wolt.com/venue/5f7c51ce3651d89626bdc4a0/3fed31ec-093c-11eb-819e-a2cd63e90ca8_hero_2.jpg","Simply Tasty","En blanding av ferske salater, varme supper og krydra pakistanske retter 🥘","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
57,"https://wolt.com/nb/nor/oslo/restaurant/espresso-house-nordre-gate","https://imageproxy.wolt.com/venue/63c1531d6ec46a74d92fe8af/5893fa52-9349-11ed-a827-265ef4cea4f7_34683172_927a_11ed_8d1e_8a5a6a33d933_6926ec8a_98ff_11eb_bf55_d65f55f576a3_espressohouse2591.jpg","Espresso House Nordre Gate","Kvalitet i alle ledd – fra kaffebønnene, bakeriet og til våre ansatte.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
58,"https://wolt.com/nb/nor/oslo/restaurant/helt-rtt","https://imageproxy.wolt.com/venue/60e06526241642248ebbbb8f/5eb3c6ca-108b-11ec-add4-fafade8aa9a4_helt_ra_tt_sushi8414.jpg","Helt Rått","Et Helt Rått konsept basert på japansk sushitradisjon, erfaring, kreativitet og kunnskap","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
59,"https://wolt.com/nb/nor/oslo/restaurant/jnk-fredensborg","https://imageproxy.wolt.com/venue/63db7273139e62088dc81f9b/a491543e-a2d2-11ed-abee-ce463b6f992a_2cffe6b2_a21c_11ed_a11d_92d64af4609e_j_nk.jpg","Jønk Fredensborg","Årets Burger 2022 #woltawards 🍔🏆","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
60,"https://wolt.com/nb/nor/oslo/restaurant/freddy-fuego-burrito-bar","https://imageproxy.wolt.com/venue/62022d9b14576114f277c9ed/cafd37e4-a22a-11ed-b8b7-e6ff2db7d599_e739df5a_94d1_11ec_b370_82e15f23dc78_freddy_fuego16538.jpg","Freddy Fuego Burrito Bar","At Freddy's I take great pride in my healthy, freshly-made burritos, and being an independent, local business.","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
61,"https://wolt.com/nb/nor/oslo/restaurant/pizza-ricetta-alexander-kiellands-plass","https://imageproxy.wolt.com/venue/612f3d766608daaeddde054e/0e0f696a-17a0-11ec-a900-52c604287e9c_pizza_ricetta_alexander_kiellands_plass0503.jpg","Pizza Ricetta Alexander Kiellands Plass","Herlige pizzaer laget med hjemmelaget tomatsaus","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
62,"https://wolt.com/nb/nor/oslo/restaurant/chinatown-majorstuen","https://imageproxy.wolt.com/venue/60192747b81ffcbc61f19534/0ff27478-750e-11eb-9007-4a184a95b216_chinatown4892.jpg","Chinatown Majorstuen","Gorumetmat fra Kina og Thailand","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.6
63,"https://wolt.com/nb/nor/oslo/restaurant/bastard-burgers-torggata","https://imageproxy.wolt.com/venue/628cc45248c3b75690217b32/c36aeef4-ec7c-11ec-92af-ca294dfec7c0_f0e1ca8a_c1e7_11eb_9aae_2a59cdf83a0b_bastard_burgers_list_image.jpeg","Bastard Burgers Torggata","Premium street food inspirert av New York laget med kvalitetskjøtt fra Norge","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
64,"https://wolt.com/nb/nor/oslo/restaurant/tunco","https://imageproxy.wolt.com/venue/5da42c65e219661815a2bfad/88cb6588-a227-11ed-9be0-b65b283b777d_b4abd5fa_e1ae_11ec_8f6b_ca69c06f9b34_v3.jpg","TUNCO St. Hanshaugen","Noodles & Bao","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
65,"https://wolt.com/nb/nor/oslo/restaurant/hot-temper","https://imageproxy.wolt.com/venue/6273927a98e9560bb7a56ca2/121d238c-a21c-11ed-a578-daeeab568ce0_hot_temper.jpg","Hot Temper","Fried chicken","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9.2
66,"https://wolt.com/nb/nor/oslo/restaurant/lille-amerika","https://imageproxy.wolt.com/venue/5f8d4ea783965ecdaf5f183d/f8510ffe-1f7d-11eb-a228-ea82ee7853ec_hero1.jpg","Lille Amerika","Smashburger & Milkshakes","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.4
67,"https://wolt.com/nb/nor/oslo/restaurant/creamy-lkka","https://imageproxy.wolt.com/venue/5fd2a25479197854937f8df9/fa8e8c80-3b37-11eb-a010-cea87f2a9a8c_img_3452.jpg","Creamy Løkka","Sweets & Treats!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
68,"https://wolt.com/nb/nor/oslo/restaurant/lille-saigon-1","https://imageproxy.wolt.com/venue/601bc68c4288797992e8ed82/135a7ef6-a227-11ed-82d6-8a8993ead753_b4161a84_8d49_11eb_b92c_de52400aadc6_10.jpeg","Lille Saigon 1","Tradisjonell vietnamesisk mat","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
69,"https://wolt.com/nb/nor/oslo/restaurant/saigon-express","https://imageproxy.wolt.com/venue/5f16aa5ba8172132718596e2/c269d5d4-a224-11ed-b153-7eddd2c54c82_a09dc4f0_cf87_11ea_ad39_1e20bc6d989a_heroshot_4.jpg","Saigon Express","Asiatiske retter med rask levering","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
70,"https://wolt.com/nb/nor/oslo/restaurant/zio-pizza","https://imageproxy.wolt.com/venue/63c14264d34daefba991cb49/e34ebe3c-9413-11ed-a1fc-925f66194051_0samlebilde_01.jpg","Zio Pizza","Alle våre pizzaer tilberedes helt fra bunnen av og vi benytter råvarer av høyeste kvalitet","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9.4
71,"https://wolt.com/nb/nor/oslo/restaurant/tiffanys-bjolsen","https://imageproxy.wolt.com/venue/5e6265c159da7d64285bedc9/c69b8fc6-a215-11ed-8b70-1e242aaa125c_hero5.jpg","Tiffany's","Modern Burgers & More!","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
72,"https://wolt.com/nb/nor/oslo/restaurant/lett-grensen","https://imageproxy.wolt.com/venue/61e034270d61c8b36cbf0546/42f7dd50-a224-11ed-bb1b-4ecd7d6d0773_green_.png","LETT Grensen","Godt for kloden, godt for helsen, lett for deg","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.2
73,"https://wolt.com/nb/nor/oslo/restaurant/mucho-mas","https://imageproxy.wolt.com/venue/607568590f7f4f05fab43f85/3e114b2c-e285-11ed-81c6-ceb10a8c5120_hero_drink_edited.jpg","Mucho Mas","Meksikanske retter med en amerikansk tvist 🌮","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",8.8
74,"https://wolt.com/nb/nor/oslo/restaurant/fatty-patty-oslo","https://imageproxy.wolt.com/venue/63e0e0d0ebbd566879179750/5ee85cbe-a946-11ed-a055-46f607342174_0samlebilde.jpg","Fatty Patty","Smashburgers på Frogner","<span>$$</span><span class=""sc-537ac15b-35 hxASyT"">$$</span>",9
